1481612789,1,[2,3],4
1481616408,2,[2,7],2
1481617091,3,[1,6],2
1481619706,4,[2,4],1
1481620005,5,[1,6],1
1481623184,6,[1,3],1
1481625912,7,[6,4],4
1481627275,8,[1,2],4
1481630089,9,[5,1],2
1481633198,10,[3,6],3
1481634968,11,[4,4],2
1481634974,12,[2,3],3
1481638052,13,[7,6],4
1481641530,14,[7,2],3
1481641968,15,[4,6],2
1481646183,16,[8,2],1
1481649191,17,[5,9],1
1481649251,18,[8,1],4
1481653721,19,[6,5],2
1481656580,20,[9,9],2
1481657946,21,[5,4],1
1481661209,22,[4,4],1
1481663442,23,[1,2],1
1481664167,24,[1,7],2
1481667642,25,[8,6],4
1481668477,26,[8,4],3
1481672073,27,[4,6],3
1481676120,28,[2,3],4
1481678117,29,[5,9],3
1481681071,30,[4,4],1
1481684856,31,[2,2],1
1481688888,32,[6,5],3
1481690239,33,[8,1],2
1481691338,34,[8,8],2
1481692425,35,[5,7],4
1481696601,36,[2,3],2
1481697136,37,[2,5],3
1481699476,38,[5,5],1
1481701004,39,[9,8],3
1481704499,40,[8,1],1
1481706670,41,[7,4],1
1481710880,42,[7,4],3
1481712286,43,[6,2],2
1481712917,44,[5,1],2
1481714271,45,[1,4],1
1481718124,46,[6,9],2
1481719177,47,[1,7],4
1481723298,48,[8,1],1
1481727320,49,[4,4],4
1481729587,50,[4,8],4
1481732499,51,[5,6],4
1481733827,52,[6,6],3
1481737725,53,[9,3],3
1481738287,54,[6,6],2
1481739112,55,[3,1],2
1481741144,56,[1,8],3
1481742169,57,[1,7],2
1481746394,58,[5,4],1
1481748002,59,[8,9],3
1481748770,60,[1,4],3
1481750917,61,[1,8],1
1481751642,62,[9,6],1
1481755527,63,[6,5],2
1481759066,64,[6,9],2
1481760446,65,[6,3],2
1481761532,66,[8,9],2
1481761766,67,[4,1],2
1481765923,68,[7,8],4
1481769904,69,[6,9],2
1481769942,70,[5,5],3
1481771289,71,[3,5],4
1481772724,72,[6,3],4
1481772741,73,[9,8],2
1481773529,74,[3,3],4
1481776314,75,[6,8],3
1481778975,76,[9,4],3
1481779391,77,[2,9],4
1481779801,78,[5,9],3
1481783218,79,[8,8],1
1481787040,80,[6,6],4
1481788133,81,[7,1],4
1481788592,82,[2,3],3
1481791606,83,[4,9],4
1481793091,84,[1,4],3
1481794709,85,[6,3],4
1481798971,86,[5,6],2
1481799161,87,[4,4],1
1481802242,88,[9,6],4
1481804120,89,[6,2],4
1481805751,90,[9,6],1
1481806335,91,[2,2],1
1481808060,92,[6,3],4
1481810269,93,[4,8],3
1481813584,94,[9,2],3
1481813905,95,[9,6],1
1481815272,96,[9,1],2
1481818286,97,[5,8],2
1481819216,98,[6,2],2
1481819926,99,[1,2],4
1481821964,100,[2,1],1
1481825935,101,[9,6],4
1481829284,102,[5,7],1
1481831745,103,[8,4],1
1481833401,104,[9,3],3
1481836310,105,[9,2],2
1481836583,106,[5,2],1
1481839025,107,[9,4],3
1481842811,108,[7,1],4
1481845875,109,[2,7],3
1481849822,110,[8,8],4
1481853709,111,[3,6],2
1481854341,112,[4,7],2
1481855452,113,[1,6],1
1481858207,114,[9,1],4
1481862280,115,[1,2],3
1481864566,116,[8,9],4
1481866302,117,[9,3],1
1481866752,118,[3,5],3
1481867174,119,[1,5],1
1481868185,120,[7,9],4
1481868322,121,[7,1],2
1481869419,122,[7,6],3
1481872622,123,[9,5],2
1481873984,124,[2,5],1
1481876815,125,[3,1],4
1481877191,126,[5,2],3
1481878826,127,[8,3],1
1481880109,128,[7,3],4
1481880538,129,[6,3],2
1481883032,130,[7,4],2
1481884435,131,[9,4],3
1481884535,132,[2,6],3
1481885542,133,[8,1],4
1481889591,134,[4,2],2
1481889660,135,[1,7],3
1481891038,136,[2,8],4
1481891642,137,[8,4],4
1481892365,138,[5,3],1
1481893268,139,[7,7],2
1481894705,140,[7,3],4
1481896582,141,[1,4],4
1481899133,142,[1,8],2
1481899482,143,[5,8],4
1481902747,144,[2,6],4
1481907060,145,[7,7],4
1481911553,146,[1,3],4
1481915024,147,[4,9],2
1481916452,148,[9,1],3
1481916745,149,[2,9],1
1481920197,150,[9,4],2
1481920632,151,[7,9],4
1481922422,152,[6,4],4
1481924163,153,[5,1],4
1481925341,154,[4,5],1
1481927122,155,[9,6],2
1481930804,156,[1,3],3
1481933627,157,[8,8],3
1481935540,158,[8,1],4
1481935633,159,[2,1],4
1481939945,160,[5,1],3
1481941529,161,[6,8],1
1481944309,162,[8,8],3
1481945191,163,[3,5],4
1481945917,164,[3,5],4
1481947008,165,[5,1],1
1481949100,166,[5,3],2
1481950282,167,[1,8],4
1481953675,168,[3,9],3
1481955940,169,[8,7],3
1481957102,170,[3,6],1
1481960872,171,[2,8],4
1481963124,172,[3,1],4
1481963310,173,[8,1],4
1481964059,174,[4,2],4
1481966653,175,[6,5],3
1481969066,176,[6,3],2
1481970510,177,[7,5],4
1481972421,178,[6,4],3
1481973991,179,[7,7],3
1481975328,180,[6,8],3
1481978664,181,[3,3],2
1481978973,182,[7,2],2
1481982189,183,[9,8],4
1481985656,184,[2,1],4
1481985697,185,[9,9],2
1481987454,186,[2,6],1
1481990067,187,[3,5],4
1481990937,188,[5,1],4
1481993757,189,[9,4],2
1481994342,190,[3,6],1
1481994410,191,[2,1],2
1481998385,192,[4,1],2
1481999132,193,[4,4],3
1482003289,194,[3,8],3
1482007694,195,[7,2],4
1482009517,196,[7,8],2
1482010299,197,[6,5],1
1482012719,198,[3,7],2
1482012862,199,[5,7],3
1482013125,200,[7,3],2
1482014162,201,[9,7],2
1482018362,202,[6,8],2
1482021651,203,[3,9],3
1482025496,204,[5,8],4
1482029264,205,[8,8],2
1482031474,206,[5,2],1
1482031793,207,[5,2],2
1482032026,208,[7,7],3
1482032822,209,[1,6],2
1482036018,210,[5,6],1
1482037870,211,[9,5],1
1482040974,212,[8,5],4
1482042717,213,[2,4],1
1482045744,214,[7,8],4
1482045864,215,[4,6],4
1482049273,216,[8,2],2
1482049287,217,[7,2],1
1482050913,218,[2,3],2
1482053764,219,[1,9],4
1482053942,220,[7,6],2
1482054282,221,[8,8],4
1482055250,222,[6,7],1
1482058839,223,[6,5],3
1482058902,224,[9,5],1
1482060668,225,[4,2],4
1482064709,226,[1,9],1
1482066990,227,[4,9],1
1482069974,228,[1,8],4
1482071942,229,[9,7],3
1482073222,230,[9,9],1
1482073556,231,[9,3],4
1482076190,232,[4,7],3
1482079878,233,[8,3],2
1482082222,234,[8,7],2
1482084994,235,[8,4],2
1482089120,236,[9,4],4
1482092928,237,[2,3],3
1482095330,238,[8,8],3
1482096759,239,[8,1],1
1482100723,240,[5,4],4
1482102012,241,[7,5],4
1482103820,242,[1,7],4
1482106616,243,[2,9],2
1482107699,244,[8,9],4
1482112126,245,[8,4],4
1482115596,246,[6,8],4
1482119226,247,[1,2],2
1482120466,248,[8,4],1
1482124946,249,[8,4],4
1482128800,250,[2,1],3
1482129642,251,[9,5],4
1482132747,252,[8,7],4
1482136361,253,[4,6],4
1482136978,254,[2,2],2
1482140880,255,[1,3],3
1482144873,256,[3,8],1
1482144889,257,[4,5],4
1482146036,258,[7,7],1
1482148764,259,[6,7],1
1482153188,260,[1,1],4
1482156494,261,[5,4],3
1482159599,262,[7,1],4
1482161435,263,[4,6],3
1482165047,264,[9,1],1
1482166650,265,[8,3],4
1482168232,266,[2,1],1
1482168356,267,[1,9],1
1482170311,268,[4,3],1
1482173473,269,[9,3],1
1482175334,270,[2,7],4
1482176846,271,[4,7],1
1482176878,272,[3,6],1
1482177214,273,[1,3],3
1482180690,274,[3,9],3
1482182160,275,[6,1],1
1482183701,276,[1,3],3
1482183748,277,[8,9],3
1482185177,278,[4,7],3
1482185718,279,[5,6],3
1482186926,280,[5,4],4
1482188879,281,[5,4],1
1482189562,282,[6,1],2
1482193057,283,[4,5],4
1482197227,284,[6,4],1
1482198517,285,[3,9],4
1482199920,286,[3,6],1
1482203704,287,[8,2],3
1482204303,288,[7,7],2
1482206246,289,[2,4],2
1482208990,290,[8,9],4
1482211905,291,[9,6],3
1482213595,292,[1,1],3
1482214150,293,[3,7],3
1482215987,294,[2,5],4
1482217888,295,[8,9],4
1482218332,296,[2,2],1
1482222318,297,[5,7],3
1482223773,298,[2,8],1
1482227787,299,[5,2],4
1482230559,300,[6,5],1
1482231107,301,[4,7],2
1482232352,302,[4,2],2
1482232744,303,[4,5],4
1482235897,304,[2,8],3
1482239042,305,[8,1],4
1482243537,306,[4,3],1
1482246093,307,[4,9],1
1482247387,308,[4,4],2
1482249485,309,[4,8],2
1482252736,310,[5,3],1
1482254461,311,[7,1],1
1482258941,312,[9,1],4
1482259842,313,[5,6],1
1482263125,314,[8,3],3
1482267490,315,[2,4],2
1482268315,316,[4,3],2
1482271254,317,[6,4],1
1482274776,318,[3,7],4
1482278008,319,[9,3],1
1482278549,320,[5,7],1
1482280264,321,[8,3],3
1482284751,322,[8,1],3
1482286157,323,[5,6],3
1482286978,324,[7,2],2
1482290843,325,[2,4],3
1482292084,326,[3,8],3
1482295312,327,[9,7],3
1482297463,328,[3,1],4
